# Tarih — 200 soru. Hepsi model_knowledge: bağımsız kaynakla doğrulanmadı.
# Biçim: zorluk | soru | doğru | çeldirici | çeldirici | çeldirici
easy|İstanbul'u 1453'te fetheden Osmanlı padişahı kimdir?|II. Mehmed|I. Selim|II. Bayezid|I. Süleyman
easy|İstanbul hangi yılda Osmanlı egemenliğine girmiştir?|1453|1402|1517|1571
medium|Fatih Sultan Mehmet fetih sırasında kaç yaşındaydı?|21|17|29|35
medium|1453'te Konstantinopolis'i savunan son Bizans imparatoru kimdir?|XI. Konstantinos|I. Justinianos|I. Konstantinos|II. Theodosios
hard|Fetih sırasında Osmanlı donanmasının karadan yürütüldüğü koy hangisidir?|Haliç|Boğaziçi|Marmara|Karadeniz
medium|Osmanlı Devleti'nin kurucusu kimdir?|Osman Bey|Orhan Bey|Ertuğrul Gazi|Alâeddin Bey
easy|Osmanlı Devleti yaklaşık hangi yılda kurulmuştur?|1299|1071|1453|1517
medium|Osmanlı Devleti'nin ilk başkenti neresidir?|Söğüt|Bursa|Edirne|İznik
medium|Bursa'yı Osmanlı topraklarına katan padişah kimdir?|Orhan Bey|Osman Bey|I. Murad|Yıldırım Bayezid
medium|Edirne hangi padişah döneminde başkent olmuştur?|I. Murad|Orhan Bey|Yıldırım Bayezid|II. Mehmed
hard|Ankara Savaşı hangi yılda yapılmıştır?|1402|1389|1444|1473
hard|Ankara Savaşı'nda Yıldırım Bayezid'i yenen hükümdar kimdir?|Timur|Uzun Hasan|Şah İsmail|Cengiz Han
medium|Kosova Savaşı'nda şehit düşen Osmanlı padişahı kimdir?|I. Murad|Orhan Bey|Yıldırım Bayezid|II. Murad
hard|Osmanlı'da Fetret Devri hangi savaştan sonra başlamıştır?|Ankara Savaşı|Kosova Savaşı|Niğbolu Savaşı|Varna Savaşı
medium|Yavuz Sultan Selim hangi savaşla Memlûk Devleti'ne son vermiştir?|Ridaniye|Çaldıran|Mercidabık|Preveze
medium|Çaldıran Savaşı hangi devletle yapılmıştır?|Safevi Devleti|Memlûk Devleti|Venedik|Macaristan
hard|Çaldıran Savaşı hangi yılda yapılmıştır?|1514|1473|1526|1538
medium|Halifelik hangi padişah döneminde Osmanlı'ya geçmiştir?|I. Selim|II. Mehmed|I. Süleyman|II. Bayezid
easy|Kanuni lakabıyla anılan Osmanlı padişahı kimdir?|I. Süleyman|I. Selim|II. Mehmed|III. Murad
medium|Mohaç Meydan Savaşı hangi yılda yapılmıştır?|1526|1514|1571|1596
medium|Mohaç Savaşı hangi ülkeye karşı kazanılmıştır?|Macaristan|Avusturya|Polonya|Venedik
hard|Preveze Deniz Zaferi'ni kazanan Osmanlı amirali kimdir?|Barbaros Hayreddin Paşa|Turgut Reis|Piri Reis|Kılıç Ali Paşa
hard|Preveze Deniz Savaşı hangi yılda kazanılmıştır?|1538|1499|1571|1645
medium|İnebahtı Deniz Savaşı Osmanlı için nasıl sonuçlanmıştır?|Yenilgi|Zafer|Beraberlik|Savaş yapılmadı
hard|Piri Reis hangi eseriyle tanınır?|Kitab-ı Bahriye|Seyahatname|Siyasetname|Divanü Lügati't-Türk
medium|Evliya Çelebi hangi eseriyle bilinir?|Seyahatname|Kitab-ı Bahriye|Kutadgu Bilig|Mesnevi
medium|Osmanlı'da ilk matbaayı kuran kişi kimdir?|İbrahim Müteferrika|Katip Çelebi|Evliya Çelebi|Piri Reis
hard|İbrahim Müteferrika matbaasını hangi yüzyılda kurmuştur?|18. yüzyıl|16. yüzyıl|17. yüzyıl|19. yüzyıl
medium|Lale Devri hangi padişah döneminde yaşanmıştır?|III. Ahmed|II. Mahmud|I. Abdülhamid|III. Selim
hard|Lale Devri hangi olayla sona ermiştir?|Patrona Halil İsyanı|Kabakçı Mustafa İsyanı|Vaka-i Hayriye|31 Mart Olayı
medium|Yeniçeri Ocağı'nı kaldıran padişah kimdir?|II. Mahmud|III. Selim|Abdülmecid|Abdülaziz
hard|Yeniçeri Ocağı hangi yılda kaldırılmıştır?|1826|1789|1839|1876
medium|Tanzimat Fermanı hangi yılda ilan edilmiştir?|1839|1826|1856|1876
medium|Islahat Fermanı hangi yılda ilan edilmiştir?|1856|1839|1876|1908
medium|I. Meşrutiyet hangi yılda ilan edilmiştir?|1876|1856|1908|1918
medium|II. Meşrutiyet hangi yılda ilan edilmiştir?|1908|1876|1913|1918
hard|Kanun-i Esasi hangi padişah döneminde ilan edilmiştir?|II. Abdülhamid|Abdülaziz|Abdülmecid|V. Mehmed
medium|Osmanlı Devleti Birinci Dünya Savaşı'na hangi yıl girmiştir?|1914|1912|1915|1918
medium|Çanakkale Savaşları hangi yıl yoğunlaşmıştır?|1915|1912|1917|1919
medium|Mondros Ateşkes Antlaşması hangi yılda imzalanmıştır?|1918|1914|1920|1923
medium|Sevr Antlaşması hangi yılda imzalanmıştır?|1920|1918|1921|1923
easy|Türkiye Cumhuriyeti hangi yılda ilan edilmiştir?|1923|1919|1920|1921
easy|Cumhuriyet hangi ayın hangi gününde ilan edilmiştir?|29 Ekim|23 Nisan|19 Mayıs|30 Ağustos
easy|Türkiye Cumhuriyeti'nin ilk cumhurbaşkanı kimdir?|Mustafa Kemal Atatürk|İsmet İnönü|Celâl Bayar|Fevzi Çakmak
medium|Türkiye'nin ikinci cumhurbaşkanı kimdir?|İsmet İnönü|Celâl Bayar|Cemal Gürsel|Mahmut Celâleddin
easy|TBMM hangi yılda açılmıştır?|1920|1919|1921|1923
easy|TBMM'nin açılış tarihi hangi gündür?|23 Nisan|29 Ekim|19 Mayıs|30 Ağustos
easy|Kurtuluş Savaşı'nın başlangıcı sayılan çıkarma hangi tarihtedir?|19 Mayıs 1919|23 Nisan 1920|30 Ağustos 1922|29 Ekim 1923
